Employee_number,Employee_name,Employee_age,Maritial_Status,Current_Salary,Number_of_Children,years_experience,past_projects,current_projects,Divorced_earlier,Father_alive,Mother_alive,performance_rating,Education_level,Department,Role,Job_Satisfaction,Work_Life_Balance,is_outlier
10002,David Taylor,34,False,82171,3,10,5,0,Yes,Yes,No,5,Diploma,HR,HR Executive,10.0,4.0777277649217,0
10006,Leo Patel,38,False,87651,0,8,10,0,No,Yes,Yes,2,Master's,Operations,Operations Coordinator,8.59194627554982,4.097745635679665,0
10007,Arun Smith,29,False,76916,1,7,14,3,Yes,No,Yes,3,Bachelor's,R&D,Researcher,9.01021354565237,1.0,0
10008,Aisha Lewis,37,True,62465,1,8,10,2,No,Yes,Yes,2,Master's,R&D,Researcher,4.736448964610613,6.506922731036559,0
10009,Arun Thomas,42,True,71206,1,17,4,1,No,Yes,No,3,High School,HR,HR Executive,4.5808196575698705,7.338171844648392,0
10011,Olivia Davis,36,True,76188,0,4,13,1,Yes,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,10.0,6.236470723184855,0
10016,Emily Anderson,54,True,99905,3,16,10,1,No,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,6.6603809138970576,2.622619011417521,0
10017,Rohit Thomas,21,False,80313,2,0,9,2,No,No,Yes,3,Bachelor's,Engineering,DevOps Engineer,9.280977662111566,4.424108858338855,0
10021,Daniel Williams,45,False,79450,2,16,6,2,No,Yes,Yes,3,Diploma,Sales,Account Executive,2.7509181881922498,1.0,0
10023,Sarah Kumar,27,True,59545,0,4,12,1,No,Yes,No,3,High School,Sales,Sales Manager,8.590891437080412,1.0,0
10024,Olivia Patel,24,True,68934,0,0,11,3,No,Yes,Yes,2,Master's,Operations,Ops Manager,10.0,2.710460859960279,0
10025,Priya Iyer,32,True,86240,1,5,0,3,Yes,Yes,Yes,3,Bachelor's,Sales,Account Executive,8.315420126845249,1.5508226302449808,0
10029,Luke Kumar,25,True,72047,0,0,12,3,No,Yes,Yes,1,Bachelor's,Operations,Operations Coordinator,9.846964492885617,2.886913545495877,0
10032,Leo Kumar,35,True,69086,0,7,11,3,No,Yes,Yes,5,Diploma,Support,Customer Specialist,8.388387975105948,2.5476398667294964,0
10033,Sophia Singh,42,False,86983,1,15,14,1,No,Yes,Yes,3,Bachelor's,Support,Customer Specialist,10.0,2.9234919653378038,0
10037,Priya Walker,35,False,64098,3,7,5,3,No,Yes,Yes,2,Diploma,Engineering,DevOps Engineer,9.659721234829355,1.653841128487755,0
10039,John Sharma,40,True,98289,0,10,14,0,No,Yes,Yes,4,Bachelor's,Engineering,Software Engineer,5.609927768522832,10.0,0
10040,Sarah Sharma,36,False,73874,2,12,6,3,No,Yes,Yes,4,Master's,Sales,Sales Manager,2.698316812720627,6.258243705165171,0
10042,Daniel Taylor,36,True,69094,2,14,14,2,Yes,Yes,Yes,5,High School,Support,Customer Specialist,6.33235543835292,3.043529119099828,0
10045,Daniel Davis,42,True,68248,1,17,4,1,No,Yes,Yes,3,High School,R&D,Researcher,10.0,7.596960468345053,0
10047,Priya Anderson,49,True,68243,0,15,12,0,No,Yes,Yes,4,Diploma,R&D,Researcher,10.0,1.8444406459020506,0
10048,Vikram Davis,32,True,66711,0,3,9,0,No,Yes,Yes,2,High School,Support,Support Engineer,10.0,1.1681084865769353,0
10051,Sophia Wilson,36,True,62222,2,11,8,1,No,Yes,Yes,5,Diploma,Operations,Operations Coordinator,10.0,1.0,0
10054,Rohit Davis,18,True,72303,0,0,7,3,No,Yes,No,2,Master's,HR,HR Manager,10.0,7.325804419277107,0
10055,Nina Lewis,26,True,60157,0,0,14,2,No,Yes,Yes,5,Bachelor's,Operations,Ops Manager,4.5344690797409335,8.141231057624061,0
10069,Michael Thomas,37,True,59673,1,13,6,1,No,Yes,No,3,High School,R&D,Researcher,8.182026645780855,2.0799595440613494,0
10072,Sarah Singh,50,False,97811,1,27,7,1,No,Yes,Yes,1,High School,Support,Customer Specialist,10.0,10.0,0
10077,Sophia Johnson,18,False,95372,3,0,2,3,No,Yes,Yes,3,High School,Sales,Account Executive,5.780774092998028,5.992463139058781,0
10079,Emily Taylor,21,False,67879,0,0,0,2,No,Yes,Yes,3,Master's,Support,Support Engineer,10.0,7.0298793110053035,0
10082,Vikram Taylor,38,False,67354,0,17,6,2,Yes,Yes,No,4,Master's,HR,HR Executive,10.0,5.251053582852435,0
10087,Leo Davis,40,False,71466,0,15,1,2,No,Yes,Yes,4,Bachelor's,Support,Support Engineer,5.601417451663366,5.839478570619169,0
10093,John Miller,25,True,60336,1,0,0,0,No,Yes,Yes,4,Diploma,Operations,Operations Coordinator,8.372735443833761,5.562014467674736,0
10096,Luke Taylor,33,True,88725,0,4,1,2,No,Yes,Yes,3,Master's,HR,HR Manager,10.0,1.0,0
10098,John Walker,45,False,62689,1,6,5,1,No,No,Yes,3,High School,HR,HR Executive,6.257822293803179,7.587046674596891,0
10102,Ananya Sharma,41,True,72082,0,0,13,0,No,Yes,Yes,3,Bachelor's,Support,Customer Specialist,10.0,4.344740200463065,0
10103,Aisha Thompson,36,False,62830,3,5,7,1,Yes,Yes,No,3,Master's,HR,HR Executive,7.797399590219013,3.3891777814348942,0
10104,Linda Davis,25,True,61547,1,0,8,0,No,No,Yes,2,Bachelor's,R&D,Scientist,2.513142733186312,3.730022002678796,0
10109,Aisha Wilson,32,True,81983,2,0,1,2,No,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,9.606620861457385,1.5127594697331141,0
